epoch,learning_rate,train_loss,train_accuracy_percent,val_loss,val_accuracy_percent,train_samples,val_samples
1,0.02000000,0.42184711,85.1981,0.10910118,96.9000,54000,6000
2,0.01990000,0.06159326,98.0741,0.04849369,98.5000,54000,6000
3,0.01980050,0.04025035,98.7500,0.04172257,98.7333,54000,6000
4,0.01970150,0.03176124,98.9630,0.03240966,99.1167,54000,6000
5,0.01960299,0.02297153,99.2796,0.02283128,99.2500,54000,6000
6,0.01950497,0.01875649,99.4037,0.02284781,99.2667,54000,6000
7,0.01940745,0.01625169,99.4667,0.01785040,99.4000,54000,6000
8,0.01931041,0.01212361,99.6019,0.02286191,99.4167,54000,6000
9,0.01921386,0.00923515,99.6852,0.01138066,99.7500,54000,6000
10,0.01911779,0.00970073,99.6907,0.00673207,99.7833,54000,6000
11,0.01902220,0.00700405,99.7630,0.00656013,99.7667,54000,6000
12,0.01892709,0.00757127,99.7500,0.00741821,99.7833,54000,6000
13,0.01883246,0.00449572,99.8574,0.00890281,99.7000,54000,6000
14,0.01873829,0.00491788,99.8407,0.00893593,99.7333,54000,6000
15,0.01864460,0.00494296,99.8574,0.01059290,99.6667,54000,6000
